X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1853.030193,4969.386094,2225.047879,DDH-158,0.7,292.68480008,-9.80003116,0,130.45,131.15,0.1794,0.04386,0.007976,1
1935.387916,4966.28195,1714.246457,DDH-159,0.3,307.7889551,0.97593221,0,168,168.3,0.23574,0.05108,0.015716,1
1935.032323,4966.557623,1714.238846,DDH-159,0.6,307.78020184,0.96225654,0,168.3,168.9,0.77412,0.047636,0.00794,1
1882.339445,4944.296933,1967.297603,DDH-160,0.45,215.67457135,-34.63388015,0,189.6,190.05,12.43674235,1.852296,2.247504,1
1882.099525,4943.962736,1967.581769,DDH-160,0.55,215.67444436,-34.63374798,0,190.05,190.6,0.06,0.04,0.0016,1
1880.839932,4942.208148,1969.07357,DDH-160,0.3,215.67359115,-34.63050086,0,192.8,193.1,16.84599532,1.854808,1.312324,1
1880.671985,4941.974196,1969.272467,DDH-160,0.4,215.67347739,-34.63006791,0,193.1,193.5,0.53784,0.051792,0.007968,1
1983.611687,5015.701508,1807.915415,DDH-161,1,167.74371327,38.08629681,0,82.4,83.4,0.05976,0.004,0.003984,1
2003.190772,5036.11518,1824.57271,DDH-162,0.7,141.78358539,32.44874907,0,63.75,64.45,0.11916,0.09138,0.007944,1
2003.6083,5035.584579,1824.143609,DDH-162,0.9,141.81825714,32.4261108,0,64.45,65.35,0.05976,0.071712,0.003984,1
2014.10288,5040.150928,1804.474214,DDH-163,0.5,134.5737892,41.84813498,0,82.1,82.6,0.11994,0.079968,0.004,1
2110.52516,5159.443655,2250.763,DDH-164,1.35,129,0,0,189,190.35,0.3,0.101412,0.016,1
1983.604519,5039.370815,2072.5,DDH-165,1,322,0,0,205.45,206.45,2.52,0.017636,0.044,1
1986.203219,5025.618666,1998.65,DDH-166,0.8,320,0,0,138.35,139.15,15.535104,3.240796,2.856,1
2416.197165,5381.317708,2076.09,DDH-167,0.31,319,0,0,128.51,128.82,0.9,2.80428,0.62,1
2416.065953,5381.46865,2076.09,DDH-167,0.09,319,0,0,128.82,128.91,0.18,4.832532,0.152,1
2415.974105,5381.574309,2076.09,DDH-167,0.19,319,0,0,128.91,129.1,0.06,0.12346,0.004,1
2415.672318,5381.921476,2076.09,DDH-167,0.73,319,0,0,129.1,129.83,0.006,0.10582,0.0016,1
2013.910975,5055.975118,1926.33,DDH-168,0.46,335,0,0,255.98,256.44,0.006,0.052912,0.0016,1
2505.854185,5443.57932,1856.842479,DDH-169,0.79,305.23690991,1.37494839,0,247.7,248.49,0.6,4.832532,0.028,1
2505.16017,5444.069688,1856.822067,DDH-169,0.91,305.25069696,1.37706662,0,248.49,249.4,11.28,7.292888,0.472,1
2166.494886,5188.483364,2407.830498,DDH-170,0.63,331.65441731,-0.2369564,0,128.32,128.95,0.06,0.061728,0.004,1
2117.589837,5153.027954,2366.839258,DDH-171,0.25,309.26180405,-0.68555374,0,210.78,211.03,6.18,4.202008,1.328,1
2321.187534,5323.627193,2139.15,DDH-172,0.2,321,0,0,108.1,108.3,4.68,3.1967,0.116,1
2295.705955,5293.565,2139.15,DDH-173,0.2,300,0,0,107.95,108.15,1.86,0.974444,0.06,1
2295.489449,5293.69,2139.15,DDH-173,0.3,300,0,0,108.15,108.45,2.16,1.119948,0.116,1
2295.229641,5293.84,2139.15,DDH-173,0.3,300,0,0,108.45,108.75,10.96213333,10.670372,1.716,1
2350.952892,5353.120549,2139.5,DDH-174,0.32,340,0,0,120.38,120.7,0.006,0.022048,0.0016,1
2350.787012,5353.576299,2139.5,DDH-174,0.65,340,0,0,120.7,121.35,0.06,0.022048,0.0016,1
2254.424475,5223.030706,1923.122736,DDH-175,1.08,92.13752066,41.03364245,0,5.67,6.75,0.36,0.132276,0.02,1
2251.676646,5222.117395,1922.980041,DDH-176,0.92,119.21126862,55.46256606,0,3.45,4.37,6.18,1.86952,0.156,1
2252.040325,5221.914039,1922.374492,DDH-176,0.55,119.21339092,55.47432728,0,4.37,4.92,0.06,0.0485,0.004,1
2252.337118,5221.748069,1921.880105,DDH-176,0.65,119.21512435,55.4839283,0,4.92,5.57,0.06,0.0485,0.004,1
2252.814297,5221.481202,1921.08485,DDH-176,0.74,119.21791409,55.49936998,0,5.84,6.58,0.06,0.052912,0.004,1
2245.398382,5215.96693,1923.31065,DDH-177,0.29,176.8292404,41.05338267,0,5.78,6.07,3,1.56528,0.152,1
2245.406097,5215.827634,1923.189144,DDH-177,0.08,176.83015416,41.05504937,0,6.07,6.15,0.12,0.079368,0.008,1
2902.666614,5815.133548,1864.915425,DDH-178,0.1,313.75319237,-0.81269033,0,13.6,13.7,0.06,0.048,0.004,1
