X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1921.163018,5068.2332,2166.673058,DDH-009,0.3,23.8410531,25.69898192,0,80.7,81,3.5301,0.119664,0.043876,1
1921.463498,5068.913161,2166.315302,DDH-009,1.35,23.8410531,25.69898192,0,81,82.35,18.96233528,1.738608,0.259792,1
1921.763979,5069.593123,2165.957546,DDH-009,0.3,23.8410531,25.69898192,0,82.35,82.65,19.59292223,1.92124,0.1432,1
1865.953488,5047.395577,2213.578668,DDH-010,0.64,330.6899929,-11.5005823,0,53.42,54.06,14.0625,0.380952,0.027776,1
1865.620092,5047.989438,2213.717236,DDH-010,0.75,330.6899929,-11.5005823,0,54.06,54.81,27.04841982,1.233584,0.22682,1
1865.322675,5048.519214,2213.84085,DDH-010,0.49,330.6899929,-11.5005823,0,54.81,55.3,28.06106791,1.80528,1.056364,1
1864.984482,5049.12162,2213.981411,DDH-010,0.92,330.6899929,-11.5005823,0,55.3,56.22,28.91630762,0.855892,0.203024,1
1864.612709,5049.783839,2214.135929,DDH-010,0.63,330.6899929,-11.5005823,0,56.22,56.85,24.26172117,0.397772,0.099444,1
1864.293705,5050.352066,2214.268516,DDH-010,0.7,330.6899929,-11.5005823,0,56.85,57.55,27.05553726,0.485476,0.198964,1
1863.885954,5051.078372,2214.437987,DDH-010,1,330.6899929,-11.5005823,0,57.55,58.55,27.74284444,0.762172,0.422984,1
1863.406248,5051.932848,2214.637365,DDH-010,1,330.6899929,-11.5005823,0,58.55,59.55,26.2188275,0.961308,0.606304,1
1863.051266,5052.565161,2214.784904,DDH-010,0.48,330.6899929,-11.5005823,0,59.55,60.03,22.20265654,0.724524,0.481688,1
1862.821007,5052.97531,2214.880606,DDH-010,0.48,330.6899929,-11.5005823,0,60.03,60.51,14.93808665,0.450592,0.411068,1
1862.540379,5053.475179,2214.997242,DDH-010,0.69,330.6899929,-11.5005823,0,60.51,61.2,0.71658,0.071656,0.019904,1
1862.135027,5054.197212,2215.165716,DDH-010,1,330.6899929,-11.5005823,0,61.2,62.2,23.93887126,0.9048,0.755312,1
1861.693697,5054.98333,2215.349144,DDH-010,0.84,330.6899929,-11.5005823,0,62.2,63.04,26.99401794,0.47506,0.20586,1
1861.237976,5055.795083,2215.538553,DDH-010,1.06,330.6899929,-11.5005823,0,63.04,64.1,26.53609288,0.61704,0.330416,1
1860.743879,5056.675194,2215.743912,DDH-010,1,330.6899929,-11.5005823,0,64.1,65.1,19.36473828,2.430168,1.679968,1
1860.264173,5057.529671,2215.94329,DDH-010,1,330.6899929,-11.5005823,0,65.1,66.1,29.46907784,0.974156,0.465208,1
1859.880408,5058.213252,2216.102792,DDH-010,0.6,330.6899929,-11.5005823,0,66.1,66.7,28.11457893,0.789788,0.195452,1
1859.616569,5058.683214,2216.21245,DDH-010,0.5,330.6899929,-11.5005823,0,66.7,67.2,20.69773423,2.973296,2.212036,1
1859.30476,5059.238624,2216.342046,DDH-010,0.8,330.6899929,-11.5005823,0,67.2,68,15.60624466,7.975388,4.406512,1
1858.873025,5060.007653,2216.521486,DDH-010,1,330.6899929,-11.5005823,0,68,69,16.78956903,8.113356,4.712644,1
1858.513245,5060.648511,2216.671019,DDH-010,0.5,330.6899929,-11.5005823,0,69,69.5,15.05620408,9.224932,5.029964,1
1858.201436,5061.20392,2216.800615,DDH-010,0.8,330.6899929,-11.5005823,0,69.5,70.3,10.79784259,7.37718,3.779716,1
1887.859781,5067.789531,2217.799207,DDH-011,0.95,356.7932542,-12.78266833,0,67.5,68.45,16.85851352,1.570928,1.56702,1
1887.806593,5068.738879,2218.01493,DDH-011,1,356.7932542,-12.78266833,0,68.45,69.45,16.33317576,2.985368,2.46738,1
1887.753404,5069.688226,2218.230652,DDH-011,0.95,356.7932542,-12.78266833,0,69.45,70.4,17.32969915,1.19492,0.809844,1
1887.700215,5070.637573,2218.446374,DDH-011,1,356.7932542,-12.78266833,0,70.4,71.4,14.75001525,3.23764,2.86284,1
1887.655209,5071.440866,2218.628908,DDH-011,0.65,356.7932542,-12.78266833,0,71.4,72.05,22.33707601,1.468504,1.625984,1
1887.627933,5071.927711,2218.739535,DDH-011,0.35,356.7932542,-12.78266833,0,72.05,72.4,0.83034,4.89126,0.086992,1
1914.575536,5082.601525,2218.768159,DDH-012,0.4,15.7976315,-10.682306,0,85.6,86,0.65502,1.675268,0.035728,1
1914.675857,5082.956107,2218.83767,DDH-012,0.35,15.7976315,-10.682306,0,86,86.35,2.14116,12.430612,0.055512,1
1914.856435,5083.594356,2218.96279,DDH-012,1,15.7976315,-10.682306,0,86.35,87.35,0.47868,0.227364,0.031912,1
1915.057077,5084.303522,2219.101813,DDH-012,0.5,15.7976315,-10.682306,0,87.35,87.85,4.77324,8.770884,0.119332,1
1915.21759,5084.870854,2219.21303,DDH-012,0.7,15.7976315,-10.682306,0,87.85,88.55,5.69844,9.810052,0.166204,1
1874.211716,5038.93948,2178.727483,DDH-013,1,335.1891314,29.35666933,0,46.15,47.15,11.79488233,4.015512,1.669848,1
