IJK,XC,YC,ZC,XINC,YINC,ZINC,XMORIG,YMORIG,ZMORIG,NX,NY,NZ,SG,AU,AG,CLASS
3066814,775852.5,9107807.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3066815,775852.5,9107807.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3066922,775852.5,9107812.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3066923,775852.5,9107812.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3095483,775857.5,9107782.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3095590,775857.5,9107787.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3095591,775857.5,9107787.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3095592,775857.5,9107787.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3095699,775857.5,9107792.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3095700,775857.5,9107792.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3095701,775857.5,9107792.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3095807,775857.5,9107797.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3095808,775857.5,9107797.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3095809,775857.5,9107797.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3095916,775857.5,9107802.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3095917,775857.5,9107802.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3095918,775857.5,9107802.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3096025,775857.5,9107807.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3096026,775857.5,9107807.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3096027,775857.5,9107807.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3096134,775857.5,9107812.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3124694,775862.5,9107782.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3124695,775862.5,9107782.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3124802,775862.5,9107787.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3124803,775862.5,9107787.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3124804,775862.5,9107787.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3124911,775862.5,9107792.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3124912,775862.5,9107792.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3124913,775862.5,9107792.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3125019,775862.5,9107797.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3125020,775862.5,9107797.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3125021,775862.5,9107797.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3125128,775862.5,9107802.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3125129,775862.5,9107802.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3125130,775862.5,9107802.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3125237,775862.5,9107807.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3125238,775862.5,9107807.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3125239,775862.5,9107807.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3125346,775862.5,9107812.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3153798,775867.5,9107777.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3153905,775867.5,9107782.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3153906,775867.5,9107782.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3153907,775867.5,9107782.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3154014,775867.5,9107787.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3154015,775867.5,9107787.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3154016,775867.5,9107787.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3154122,775867.5,9107792.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3154123,775867.5,9107792.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3154124,775867.5,9107792.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3154125,775867.5,9107792.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.833,19.3,3
3154231,775867.5,9107797.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3154232,775867.5,9107797.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3154233,775867.5,9107797.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3154340,775867.5,9107802.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3154341,775867.5,9107802.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3154342,775867.5,9107802.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3154449,775867.5,9107807.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3154450,775867.5,9107807.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3183009,775872.5,9107777.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3183010,775872.5,9107777.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3183117,775872.5,9107782.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3183118,775872.5,9107782.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3183119,775872.5,9107782.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3183226,775872.5,9107787.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3183227,775872.5,9107787.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3183228,775872.5,9107787.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.833,19.3,3
3183334,775872.5,9107792.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.825,19.4,3
3183335,775872.5,9107792.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3183336,775872.5,9107792.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.833,19.3,3
3183337,775872.5,9107792.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.836,19.3,3
3183443,775872.5,9107797.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3183444,775872.5,9107797.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3183445,775872.5,9107797.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.833,19.3,3
3183552,775872.5,9107802.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3183553,775872.5,9107802.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3183554,775872.5,9107802.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3183661,775872.5,9107807.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3212111,775877.5,9107772.5,3552.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3212112,775877.5,9107772.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3212113,775877.5,9107772.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3212220,775877.5,9107777.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3212221,775877.5,9107777.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3212222,775877.5,9107777.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3212329,775877.5,9107782.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.825,19.4,3
3212330,775877.5,9107782.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3212331,775877.5,9107782.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3212437,775877.5,9107787.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.822,19.4,3
3212438,775877.5,9107787.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.821,19.4,3
3212439,775877.5,9107787.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3212440,775877.5,9107787.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.855,19.3,3
3212546,775877.5,9107792.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.819,19.4,3
3212547,775877.5,9107792.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3212548,775877.5,9107792.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.836,19.3,3
3212549,775877.5,9107792.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.836,19.3,3
3212655,775877.5,9107797.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3212656,775877.5,9107797.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3212657,775877.5,9107797.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3212764,775877.5,9107802.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3212765,775877.5,9107802.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3241214,775882.5,9107767.5,3547.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.938,18.1,3
3241215,775882.5,9107767.5,3552.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.94,18,3
3241322,775882.5,9107772.5,3552.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3241323,775882.5,9107772.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3241324,775882.5,9107772.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3241325,775882.5,9107772.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3241431,775882.5,9107777.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3241432,775882.5,9107777.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3241433,775882.5,9107777.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3241434,775882.5,9107777.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3241540,775882.5,9107782.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.824,19.4,3
3241541,775882.5,9107782.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.824,19.4,3
3241542,775882.5,9107782.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.824,19.4,3
3241543,775882.5,9107782.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.834,19.3,3
3241649,775882.5,9107787.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.812,19.4,3
3241650,775882.5,9107787.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.78,19.5,3
3241651,775882.5,9107787.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.858,19.3,3
3241652,775882.5,9107787.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.843,19.3,3
3241758,775882.5,9107792.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.823,19.4,3
3241759,775882.5,9107792.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.834,19.3,3
3241760,775882.5,9107792.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.834,19.3,3
3241867,775882.5,9107797.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3241868,775882.5,9107797.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3241869,775882.5,9107797.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3241976,775882.5,9107802.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3270425,775887.5,9107767.5,3547.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.944,17.8,3
3270426,775887.5,9107767.5,3552.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.933,17.9,3
3270427,775887.5,9107767.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.933,18,3
3270534,775887.5,9107772.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.89,19.6,3
3270535,775887.5,9107772.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.876,19.1,3
3270536,775887.5,9107772.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3270537,775887.5,9107772.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3270643,775887.5,9107777.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3270644,775887.5,9107777.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3270645,775887.5,9107777.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3270646,775887.5,9107777.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3270752,775887.5,9107782.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.823,19.4,3
3270753,775887.5,9107782.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.823,19.4,3
3270754,775887.5,9107782.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3270755,775887.5,9107782.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.835,19.3,3
3270861,775887.5,9107787.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.814,19.4,3
3270862,775887.5,9107787.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3270863,775887.5,9107787.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.834,19.3,3
3270864,775887.5,9107787.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.835,19.3,3
3270970,775887.5,9107792.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3270971,775887.5,9107792.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3270972,775887.5,9107792.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3271079,775887.5,9107797.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3271080,775887.5,9107797.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3271081,775887.5,9107797.5,3617.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3299636,775892.5,9107767.5,3547.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.952,17.7,3
3299637,775892.5,9107767.5,3552.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.942,17.8,3
3299638,775892.5,9107767.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.93,17.9,3
3299639,775892.5,9107767.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.929,18.1,3
3299745,775892.5,9107772.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.92,19.2,3
3299746,775892.5,9107772.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.886,19.6,3
3299747,775892.5,9107772.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.876,19.5,3
3299748,775892.5,9107772.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3299749,775892.5,9107772.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3299855,775892.5,9107777.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3299856,775892.5,9107777.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3299857,775892.5,9107777.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3299858,775892.5,9107777.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3299964,775892.5,9107782.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.824,19.4,3
3299965,775892.5,9107782.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3299966,775892.5,9107782.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3299967,775892.5,9107782.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3300073,775892.5,9107787.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3300074,775892.5,9107787.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3300075,775892.5,9107787.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3300076,775892.5,9107787.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.832,19.3,3
3300182,775892.5,9107792.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3300183,775892.5,9107792.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3300184,775892.5,9107792.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3300291,775892.5,9107797.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3300292,775892.5,9107797.5,3617.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3328848,775897.5,9107767.5,3552.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.952,17.7,3
3328849,775897.5,9107767.5,3557.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.941,17.8,3
3328850,775897.5,9107767.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.93,17.9,3
3328851,775897.5,9107767.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.929,18.1,3
3328958,775897.5,9107772.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.885,19.6,3
3328959,775897.5,9107772.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.876,19.5,3
3328960,775897.5,9107772.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3329067,775897.5,9107777.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3329068,775897.5,9107777.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.827,19.4,3
3329069,775897.5,9107777.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3329070,775897.5,9107777.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3329176,775897.5,9107782.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.826,19.4,3
3329177,775897.5,9107782.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3329178,775897.5,9107782.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3329179,775897.5,9107782.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3329285,775897.5,9107787.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3329286,775897.5,9107787.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3329287,775897.5,9107787.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3329288,775897.5,9107787.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3329394,775897.5,9107792.5,3607.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3329395,775897.5,9107792.5,3612.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3329396,775897.5,9107792.5,3617.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.831,19.3,3
3329503,775897.5,9107797.5,3617.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3357733,775902.5,9107752.5,3527.5,5,5,5,775330,9106460,3160,371,273,107,2.37,1.396,16.9,3
